node1,node2,port1,port2
12_14_1,12_22_1,23,15
12_14_1,12_17_1,18,15
12_14_1,12_21_1,22,15
12_14_1,12_18_1,19,15
12_14_1,12_20_1,21,15
12_14_1,12_27_1,28,15
12_14_1,12_16_1,17,15
12_14_1,12_29_1,30,15
12_14_1,12_26_1,27,15
12_14_1,12_24_1,25,15
32_4_15,8_19_1,9,31
32_4_15,9_19_1,10,31
32_4_15,4_19_1,5,31
32_4_15,3_19_1,4,31
32_4_15,5_19_1,6,31
32_4_15,6_19_1,7,31
32_4_15,7_19_1,8,31
32_4_14,8_19_1,9,30
32_4_14,9_19_1,10,30
32_4_14,4_19_1,5,30
32_4_14,3_19_1,4,30
32_4_14,5_19_1,6,30
32_4_14,6_19_1,7,30
32_4_14,7_19_1,8,30
32_4_16,8_19_1,9,32
32_4_16,9_19_1,10,32
32_4_16,4_19_1,5,32
32_4_16,3_19_1,4,32
32_4_16,5_19_1,6,32
32_4_16,6_19_1,7,32
32_4_16,7_19_1,8,32
32_4_11,8_19_1,9,27
32_4_11,9_19_1,10,27
32_4_11,4_19_1,5,27
32_4_11,3_19_1,4,27
32_4_11,5_19_1,6,27
32_4_11,6_19_1,7,27
32_4_11,7_19_1,8,27
32_4_10,8_19_1,9,26
32_4_10,9_19_1,10,26
32_4_10,4_19_1,5,26
32_4_10,3_19_1,4,26
32_4_10,5_19_1,6,26
32_4_10,6_19_1,7,26
32_4_10,7_19_1,8,26
32_4_13,8_19_1,9,29
32_4_13,9_19_1,10,29
32_4_13,4_19_1,5,29
32_4_13,3_19_1,4,29
32_4_13,5_19_1,6,29
32_4_13,6_19_1,7,29
32_4_13,7_19_1,8,29
32_4_12,8_19_1,9,28
32_4_12,9_19_1,10,28
32_4_12,4_19_1,5,28
32_4_12,3_19_1,4,28
32_4_12,5_19_1,6,28
32_4_12,6_19_1,7,28
32_4_12,7_19_1,8,28
4_2_1,4_31_1,32,3
4_2_1,4_30_1,31,3
5_6_1,5_24_1,25,7
5_8_1,5_24_1,25,9
5_7_1,5_24_1,25,8
5_3_1,5_24_1,25,4
5_9_1,5_24_1,25,10
5_2_1,5_24_1,25,3
5_5_1,5_24_1,25,6
5_4_1,5_24_1,25,5
17_6_1,17_23_1,24,7
17_7_1,17_23_1,24,8
17_3_1,17_23_1,24,4
32_8_11,17_23_1,18,27
32_8_10,17_23_1,18,26
32_8_13,17_23_1,18,29
32_8_12,17_23_1,18,28
32_8_15,17_23_1,18,31
32_8_14,17_23_1,18,30
32_8_16,17_23_1,18,32
17_8_1,17_23_1,24,9
17_9_1,17_23_1,24,10
32_8_9,17_23_1,18,25
32_8_8,17_23_1,18,24
32_8_5,17_23_1,18,21
32_8_4,17_23_1,18,20
32_8_7,17_23_1,18,23
32_8_6,17_23_1,18,22
32_8_1,17_23_1,18,17
32_8_3,17_23_1,18,19
32_8_2,17_23_1,18,18
17_5_1,17_23_1,24,6
17_2_1,17_23_1,24,3
17_4_1,17_23_1,24,5
10_4_1,10_30_1,31,5
10_9_1,10_30_1,31,10
10_3_1,10_30_1,31,4
10_6_1,10_30_1,31,7
10_5_1,10_30_1,31,6
10_8_1,10_30_1,31,9
32_15_10,10_30_1,11,26
32_15_11,10_30_1,11,27
32_15_12,10_30_1,11,28
32_15_13,10_30_1,11,29
32_15_14,10_30_1,11,30
32_15_15,10_30_1,11,31
32_15_16,10_30_1,11,32
10_7_1,10_30_1,31,8
32_15_4,10_30_1,11,20
32_15_8,10_30_1,11,24
32_15_9,10_30_1,11,25
32_15_6,10_30_1,11,22
32_15_7,10_30_1,11,23
32_15_5,10_30_1,11,21
32_15_2,10_30_1,11,18
32_15_3,10_30_1,11,19
32_15_1,10_30_1,11,17
32_11_13,26_26_1,27,29
32_11_14,26_26_1,27,30
32_11_15,26_26_1,27,31
32_11_16,26_26_1,27,32
32_11_10,26_26_1,27,26
32_11_11,26_26_1,27,27
32_11_12,26_26_1,27,28
26_8_1,26_26_1,27,9
26_6_1,26_26_1,27,7
26_9_1,26_26_1,27,10
32_11_8,26_26_1,27,24
32_11_9,26_26_1,27,25
32_11_2,26_26_1,27,18
32_11_3,26_26_1,27,19
32_11_1,26_26_1,27,17
32_11_6,26_26_1,27,22
32_11_7,26_26_1,27,23
32_11_4,26_26_1,27,20
32_11_5,26_26_1,27,21
26_2_1,26_26_1,27,3
26_5_1,26_26_1,27,6
26_4_1,26_26_1,27,5
26_3_1,26_26_1,27,4
26_7_1,26_26_1,27,8
19_9_1,19_22_1,23,10
19_6_1,19_22_1,23,7
32_7_14,19_22_1,20,30
32_7_15,19_22_1,20,31
32_7_16,19_22_1,20,32
32_7_10,19_22_1,20,26
19_8_1,19_22_1,23,9
19_7_1,19_22_1,23,8
32_7_13,19_22_1,20,29
32_7_11,19_22_1,20,27
32_7_12,19_22_1,20,28
32_7_7,19_22_1,20,23
19_3_1,19_22_1,23,4
19_5_1,19_22_1,23,6
19_2_1,19_22_1,23,3
32_7_8,19_22_1,20,24
32_7_9,19_22_1,20,25
32_7_6,19_22_1,20,22
19_4_1,19_22_1,23,5
32_7_4,19_22_1,20,20
32_7_5,19_22_1,20,21
32_7_2,19_22_1,20,18
32_7_3,19_22_1,20,19
32_7_1,19_22_1,20,17
32_7_8,3_22_1,4,24
32_7_8,6_22_1,7,24
32_7_8,9_22_1,10,24
32_7_8,8_22_1,9,24
32_7_8,7_22_1,8,24
32_7_8,4_22_1,5,24
32_7_8,5_22_1,6,24
32_7_9,3_22_1,4,25
32_7_9,6_22_1,7,25
32_7_9,9_22_1,10,25
32_7_9,8_22_1,9,25
32_7_9,7_22_1,8,25
32_7_9,4_22_1,5,25
32_7_9,5_22_1,6,25
32_7_6,3_22_1,4,22
32_7_6,6_22_1,7,22
32_7_6,9_22_1,10,22
32_7_6,8_22_1,9,22
32_7_6,7_22_1,8,22
32_7_6,4_22_1,5,22
32_7_6,5_22_1,6,22
32_7_7,3_22_1,4,23
32_7_7,6_22_1,7,23
32_7_7,9_22_1,10,23
32_7_7,8_22_1,9,23
32_7_7,7_22_1,8,23
32_7_7,4_22_1,5,23
32_7_7,5_22_1,6,23
32_7_4,3_22_1,4,20
32_7_4,6_22_1,7,20
32_7_4,9_22_1,10,20
32_7_4,8_22_1,9,20
32_7_4,7_22_1,8,20
32_7_4,4_22_1,5,20
32_7_4,5_22_1,6,20
32_7_5,3_22_1,4,21
32_7_5,6_22_1,7,21
32_7_5,9_22_1,10,21
32_7_5,8_22_1,9,21
32_7_5,7_22_1,8,21
32_7_5,4_22_1,5,21
