node1,node2,port1,port2
30_14_13,30_14_1,0,12
30_14_12,30_14_1,0,11
30_14_15,30_14_1,0,14
30_14_14,30_14_1,0,13
30_14_17,30_14_1,0,16
30_14_16,30_14_1,0,15
30_3_2,30_3_1,0,1
30_3_3,30_3_1,0,2
30_3_4,30_3_1,0,3
30_3_5,30_3_1,0,4
30_3_6,30_3_1,0,5
30_3_7,30_3_1,0,6
30_3_8,30_3_1,0,7
30_3_9,30_3_1,0,8
30_3_12,30_3_1,0,11
30_3_13,30_3_1,0,12
30_3_10,30_3_1,0,9
30_3_11,30_3_1,0,10
30_3_16,30_3_1,0,15
30_3_17,30_3_1,0,16
30_3_14,30_3_1,0,13
30_3_15,30_3_1,0,14
12_14_11,12_14_1,0,10
12_14_10,12_14_1,0,9
12_14_13,12_14_1,0,12
12_14_12,12_14_1,0,11
12_14_15,12_14_1,0,14
12_14_14,12_14_1,0,13
12_14_17,12_14_1,0,16
12_14_16,12_14_1,0,15
12_14_9,12_14_1,0,8
12_14_8,12_14_1,0,7
12_14_5,12_14_1,0,4
12_14_4,12_14_1,0,3
12_14_7,12_14_1,0,6
12_14_6,12_14_1,0,5
12_14_3,12_14_1,0,2
12_14_2,12_14_1,0,1
22_7_9,22_7_1,0,8
22_7_8,22_7_1,0,7
22_7_3,22_7_1,0,2
22_7_2,22_7_1,0,1
22_7_5,22_7_1,0,4
22_7_4,22_7_1,0,3
22_7_7,22_7_1,0,6
22_7_6,22_7_1,0,5
22_7_15,22_7_1,0,14
22_7_14,22_7_1,0,13
22_7_17,22_7_1,0,16
22_7_16,22_7_1,0,15
22_7_11,22_7_1,0,10
22_7_10,22_7_1,0,9
22_7_13,22_7_1,0,12
22_7_12,22_7_1,0,11
4_2_9,4_2_1,0,8
4_2_8,4_2_1,0,7
4_2_7,4_2_1,0,6
4_2_6,4_2_1,0,5
4_2_4,4_2_1,0,3
4_2_3,4_2_1,0,2
4_2_2,4_2_1,0,1
4_2_17,4_2_1,0,16
4_2_16,4_2_1,0,15
4_2_15,4_2_1,0,14
4_2_14,4_2_1,0,13
4_2_13,4_2_1,0,12
4_2_12,4_2_1,0,11
4_2_11,4_2_1,0,10
4_2_10,4_2_1,0,9
4_2_5,4_2_1,0,4
21_14_9,21_14_1,0,8
21_14_8,21_14_1,0,7
21_14_3,21_14_1,0,2
21_14_2,21_14_1,0,1
21_14_7,21_14_1,0,6
21_14_6,21_14_1,0,5
21_14_5,21_14_1,0,4
21_14_4,21_14_1,0,3
21_14_10,21_14_1,0,9
21_14_17,21_14_1,0,16
21_14_16,21_14_1,0,15
21_14_15,21_14_1,0,14
21_14_14,21_14_1,0,13
21_14_13,21_14_1,0,12
21_14_12,21_14_1,0,11
21_14_11,21_14_1,0,10
3_7_15,3_7_1,0,14
3_7_14,3_7_1,0,13
3_7_17,3_7_1,0,16
3_7_16,3_7_1,0,15
3_7_11,3_7_1,0,10
3_7_10,3_7_1,0,9
3_7_13,3_7_1,0,12
3_7_12,3_7_1,0,11
3_7_5,3_7_1,0,4
3_7_4,3_7_1,0,3
3_7_7,3_7_1,0,6
3_7_6,3_7_1,0,5
3_7_3,3_7_1,0,2
3_7_2,3_7_1,0,1
3_7_9,3_7_1,0,8
3_7_8,3_7_1,0,7
14_12_15,14_12_1,0,14
14_12_14,14_12_1,0,13
14_12_17,14_12_1,0,16
14_12_16,14_12_1,0,15
14_12_11,14_12_1,0,10
14_12_10,14_12_1,0,9
14_12_13,14_12_1,0,12
14_12_12,14_12_1,0,11
14_12_3,14_12_1,0,2
14_12_2,14_12_1,0,1
14_12_5,14_12_1,0,4
14_12_4,14_12_1,0,3
14_12_7,14_12_1,0,6
14_12_6,14_12_1,0,5
14_12_9,14_12_1,0,8
14_12_8,14_12_1,0,7
0_2_16,0_2_1,0,15
0_2_13,0_2_1,0,12
0_2_12,0_2_1,0,11
0_2_11,0_2_1,0,10
0_2_10,0_2_1,0,9
0_2_17,0_2_1,0,16
0_2_15,0_2_1,0,14
0_2_14,0_2_1,0,13
0_2_3,0_2_1,0,2
0_2_2,0_2_1,0,1
0_2_7,0_2_1,0,6
0_2_6,0_2_1,0,5
0_2_5,0_2_1,0,4
0_2_4,0_2_1,0,3
0_2_9,0_2_1,0,8
0_2_8,0_2_1,0,7
8_8_15,8_8_1,0,14
8_8_14,8_8_1,0,13
8_8_17,8_8_1,0,16
8_8_16,8_8_1,0,15
8_8_11,8_8_1,0,10
8_8_10,8_8_1,0,9
8_8_13,8_8_1,0,12
8_8_12,8_8_1,0,11
8_8_9,8_8_1,0,8
8_8_8,8_8_1,0,7
8_8_5,8_8_1,0,4
8_8_4,8_8_1,0,3
8_8_7,8_8_1,0,6
8_8_6,8_8_1,0,5
8_8_3,8_8_1,0,2
8_8_2,8_8_1,0,1
26_13_15,26_13_1,0,14
26_13_14,26_13_1,0,13
26_13_17,26_13_1,0,16
26_13_16,26_13_1,0,15
26_13_11,26_13_1,0,10
26_13_10,26_13_1,0,9
26_13_13,26_13_1,0,12
26_13_12,26_13_1,0,11
26_13_9,26_13_1,0,8
26_13_8,26_13_1,0,7
26_13_3,26_13_1,0,2
26_13_2,26_13_1,0,1
26_13_5,26_13_1,0,4
26_13_4,26_13_1,0,3
26_13_7,26_13_1,0,6
26_13_6,26_13_1,0,5
11_15_11,11_15_1,0,10
11_15_10,11_15_1,0,9
11_15_13,11_15_1,0,12
11_15_12,11_15_1,0,11
11_15_15,11_15_1,0,14
11_15_14,11_15_1,0,13
11_15_17,11_15_1,0,16
11_15_16,11_15_1,0,15
11_15_9,11_15_1,0,8
11_15_8,11_15_1,0,7
11_15_5,11_15_1,0,4
11_15_4,11_15_1,0,3
11_15_7,11_15_1,0,6
11_15_6,11_15_1,0,5
11_15_3,11_15_1,0,2
11_15_2,11_15_1,0,1
5_1_3,5_1_1,0,2
5_1_2,5_1_1,0,1
5_1_5,5_1_1,0,4
5_1_4,5_1_1,0,3
5_1_7,5_1_1,0,6
5_1_6,5_1_1,0,5
5_1_9,5_1_1,0,8
5_1_8,5_1_1,0,7
5_1_11,5_1_1,0,10
5_1_10,5_1_1,0,9
5_1_13,5_1_1,0,12
5_1_12,5_1_1,0,11
5_1_15,5_1_1,0,14
5_1_14,5_1_1,0,13
5_1_17,5_1_1,0,16
5_1_16,5_1_1,0,15
19_10_12,19_10_1,0,11
19_10_13,19_10_1,0,12
19_10_10,19_10_1,0,9
19_10_11,19_10_1,0,10
19_10_16,19_10_1,0,15
19_10_17,19_10_1,0,16
19_10_14,19_10_1,0,13
19_10_15,19_10_1,0,14
19_10_2,19_10_1,0,1
19_10_3,19_10_1,0,2
19_10_4,19_10_1,0,3
19_10_5,19_10_1,0,4
19_10_6,19_10_1,0,5
19_10_7,19_10_1,0,6
19_10_8,19_10_1,0,7
19_10_9,19_10_1,0,8
11_8_16,11_8_1,0,15
11_8_17,11_8_1,0,16
11_8_14,11_8_1,0,13
11_8_15,11_8_1,0,14
11_8_13,11_8_1,0,12
11_8_10,11_8_1,0,9
11_8_11,11_8_1,0,10
11_8_4,11_8_1,0,3
11_8_5,11_8_1,0,4
11_8_6,11_8_1,0,5
11_8_7,11_8_1,0,6
11_8_2,11_8_1,0,1
11_8_3,11_8_1,0,2
11_8_8,11_8_1,0,7
11_8_9,11_8_1,0,8
11_8_12,11_8_1,0,11
19_5_15,19_5_1,0,14
19_5_14,19_5_1,0,13
19_5_17,19_5_1,0,16
19_5_16,19_5_1,0,15
19_5_11,19_5_1,0,10
19_5_10,19_5_1,0,9
19_5_13,19_5_1,0,12
19_5_12,19_5_1,0,11
19_5_3,19_5_1,0,2
19_5_2,19_5_1,0,1
19_5_5,19_5_1,0,4
19_5_4,19_5_1,0,3
19_5_7,19_5_1,0,6
19_5_6,19_5_1,0,5
19_5_9,19_5_1,0,8
19_5_8,19_5_1,0,7
5_6_2,5_6_1,0,1
5_6_3,5_6_1,0,2
5_6_6,5_6_1,0,5
5_6_7,5_6_1,0,6
5_6_4,5_6_1,0,3
5_6_5,5_6_1,0,4
5_6_8,5_6_1,0,7
