node1,node2,port1,port2
4_2_7,4_2_1,0,6
4_2_6,4_2_1,0,5
4_2_5,4_2_1,0,4
4_2_4,4_2_1,0,3
4_2_3,4_2_1,0,2
4_2_2,4_2_1,0,1
3_2_8,3_2_1,0,7
3_2_9,3_2_1,0,8
3_2_2,3_2_1,0,1
3_2_3,3_2_1,0,2
3_2_4,3_2_1,0,3
3_2_5,3_2_1,0,4
3_2_6,3_2_1,0,5
3_2_7,3_2_1,0,6
3_0_8,3_0_1,0,7
3_0_9,3_0_1,0,8
3_0_6,3_0_1,0,5
3_0_7,3_0_1,0,6
3_0_4,3_0_1,0,3
3_0_5,3_0_1,0,4
3_0_2,3_0_1,0,1
3_0_3,3_0_1,0,2
13_4_8,13_4_1,0,7
13_4_9,13_4_1,0,8
13_4_2,13_4_1,0,1
13_4_3,13_4_1,0,2
13_4_6,13_4_1,0,5
13_4_7,13_4_1,0,6
13_4_4,13_4_1,0,3
13_4_5,13_4_1,0,4
3_6_8,3_6_1,0,7
3_6_9,3_6_1,0,8
3_6_4,3_6_1,0,3
3_6_5,3_6_1,0,4
3_6_6,3_6_1,0,5
3_6_7,3_6_1,0,6
3_6_2,3_6_1,0,1
3_6_3,3_6_1,0,2
3_4_2,3_4_1,0,1
3_4_3,3_4_1,0,2
3_4_6,3_4_1,0,5
3_4_7,3_4_1,0,6
3_4_4,3_4_1,0,3
3_4_5,3_4_1,0,4
3_4_8,3_4_1,0,7
3_4_9,3_4_1,0,8
9_0_4,9_0_1,0,3
9_0_5,9_0_1,0,4
9_0_6,9_0_1,0,5
9_0_7,9_0_1,0,6
9_0_2,9_0_1,0,1
9_0_3,9_0_1,0,2
9_0_8,9_0_1,0,7
9_0_9,9_0_1,0,8
10_4_3,10_4_1,0,2
10_4_2,10_4_1,0,1
10_4_5,10_4_1,0,4
10_4_4,10_4_1,0,3
10_4_7,10_4_1,0,6
10_4_6,10_4_1,0,5
10_4_9,10_4_1,0,8
10_4_8,10_4_1,0,7
8_6_7,8_6_1,0,6
8_6_6,8_6_1,0,5
8_6_5,8_6_1,0,4
8_6_4,8_6_1,0,3
8_6_3,8_6_1,0,2
8_6_2,8_6_1,0,1
8_6_9,8_6_1,0,8
8_6_8,8_6_1,0,7
0_7_6,0_7_1,0,5
0_7_7,0_7_1,0,6
0_7_4,0_7_1,0,3
0_7_5,0_7_1,0,4
0_7_2,0_7_1,0,1
